fecha,crypto_id,open,high,low,close,volume
2024-11-18,ripple,1.1663,1.1664,1.0684,1.0963,62636833.29673049
2024-11-19,ripple,1.0963,1.1503,1.0562,1.1206,80914708.30570468
2024-11-20,ripple,1.1206,1.1576,1.0651,1.1033,169378345.2670422
2024-11-21,ripple,1.1033,1.4999,1.0991,1.4418,787405721.4741578
2024-11-22,ripple,1.4418,1.6296,1.4025,1.5557,554474736.2623404
2024-11-23,ripple,1.5557,1.5756,1.279,1.3084,489263175.6282017
2024-11-24,ripple,1.3084,1.5388,1.299,1.4231,411890633.0816597
2024-11-25,ripple,1.4231,1.524,1.2835,1.3459,485556247.1774228
2024-11-26,ripple,1.3459,1.5064,1.3343,1.4951,312933649.7610008
2024-11-27,ripple,1.4951,1.5213,1.4308,1.4346,204888867.1387599
2024-11-28,ripple,1.4346,1.7745,1.4341,1.7092,408232258.9659826
2024-11-29,ripple,1.7092,1.9489,1.6759,1.8779,537845794.1969253
2024-11-30,ripple,1.8779,1.9573,1.8482,1.9016,331423273.8232555
2024-12-01,ripple,1.9016,2.7516,1.8811,2.6997,1639610448.19089
2024-12-02,ripple,2.6997,2.908,2.2825,2.5245,1819833597.252639
2024-12-03,ripple,2.5245,2.6885,2.4829,2.5133,706250873.432308
2024-12-04,ripple,2.5133,2.5214,2.1751,2.3748,876612916.3438427
2024-12-05,ripple,2.3748,2.4396,2.2117,2.3292,439243154.3412652
2024-12-06,ripple,2.3292,2.548,2.329,2.5406,325786249.8523528
2024-12-07,ripple,2.5406,2.6196,2.471,2.5411,311060971.8107047
2024-12-08,ripple,2.5411,2.6466,2.3456,2.387,428278067.5868779
2024-12-09,ripple,2.387,2.4411,2.0031,2.0407,687337794.7057853
2024-12-10,ripple,2.0407,2.4697,1.9003,2.4467,694472533.6448064
2024-12-11,ripple,2.4467,2.4839,2.3509,2.4163,330121216.6233039
2024-12-12,ripple,2.4163,2.4783,2.2848,2.3997,290761945.8726254
2024-12-13,ripple,2.3997,2.531,2.3654,2.4049,249933929.6650203
2024-12-14,ripple,2.4049,2.4488,2.3554,2.4154,132259020.8800807
2024-12-15,ripple,2.4154,2.4728,2.3336,2.3746,214827571.5399384
2024-12-16,ripple,2.3746,2.7279,2.3744,2.5961,533405159.1472816
2024-12-17,ripple,2.5961,2.6581,2.45,2.4716,353255494.2754173
2024-12-18,ripple,2.4716,2.5149,2.174,2.3275,660667974.3719866
2024-12-19,ripple,2.3275,2.3544,1.9609,2.2141,726259622.4447265
2024-12-20,ripple,2.2141,2.3851,2.1918,2.2581,281735287.0385467
2024-12-21,ripple,2.2581,2.2936,2.1769,2.2195,196550230.064928
2024-12-22,ripple,2.2195,2.2611,2.1317,2.1438,216062901.1212481
2024-12-23,ripple,2.1438,2.3356,2.139,2.322,185117005.7008717
2024-12-24,ripple,2.322,2.3502,2.2628,2.2789,133637331.2479582
2024-12-25,ripple,2.2789,2.3167,2.1522,2.1655,155117120.6315805
2024-12-26,ripple,2.1655,2.2366,2.1276,2.1438,162392550.4489073
2024-12-27,ripple,2.1438,2.1943,2.1144,2.1732,81088143.36377683
2024-12-28,ripple,2.1732,2.2071,2.1503,2.1647,60786551.62621743
2024-12-29,ripple,2.1647,2.1667,1.9962,2.0243,151810219.1248703
2024-12-30,ripple,2.0243,2.1492,1.9983,2.1287,166405604.7415888
2024-12-31,ripple,2.1287,2.2333,2.0618,2.2282,95358549.2263454
2025-01-01,ripple,2.2282,2.4514,2.2118,2.4038,251472722.3537188
2025-01-02,ripple,2.4038,2.4742,2.367,2.4469,148673009.058816
